 tagID , Group 
 19 , 3 
 63 , 5 
 64 , 5 
 65 , 2 
 86 , 1 
 97 , 3 
 111 , 3 
 113 , 3 
 127 , 3 
 155 , 1 
 159 , 3 
 170 , 3 
 180 , 1 
 186 , 5 
 193 , 2 
 230 , 3 
 232 , 3 
 244 , 2 
 255 , 3 
 261 , 3 
 268 , 3 
 285 , 3 
 305 , 3 
 309 , 5 
 327 , 3 
 331 , 3 
 333 , 3 
 350 , 3 
 361 , 3 
 374 , 3 
 377 , 4 
 397 , 2 
 406 , 4 
 428 , 3 
 456 , 3 
 484 , 3 
 485 , 3 
 489 , 1 
 492 , 4 
 501 , 3 
 505 , 3 
 509 , 3 
 554 , 3 
 623 , 4 
 632 , 3 
 672 , 3 
 682 , 3 
 687 , 3 
 719 , 3 
 729 , 3 
 730 , 3 
 731 , 3 
 732 , 3 
 762 , 3 
 784 , 3 
 792 , 3 
 807 , 3 
 824 , 1 
 844 , 5 
 849 , 3 
 874 , 3 
 887 , 2 
 901 , 4 
 903 , 1 
 926 , 3 
 989 , 3 
 1001 , 3 
 1007 , 5 
 1022 , 3 
 1028 , 4 
 1075 , 2 
 1085 , 3 
 1096 , 3 
 1112 , 4 
 1115 , 4 
 1121 , 3 
 1126 , 3 
 1127 , 3 
 1128 , 3 
