movieid,genres,actorid,actor_movie_rank
3189,Thriller,1072584,3
3189,Thriller,2049627,1
3189,Thriller,3649447,4
3189,Thriller,3825023,2
3207,Thriller,607316,1
3207,Thriller,2145993,4
3207,Thriller,3426287,3
3207,Thriller,3513128,2
3216,Thriller,523435,4
3216,Thriller,581911,1
3216,Thriller,951580,3
3216,Thriller,3413531,2
3233,Drama,606633,1
3233,Drama,608635,4
3233,Drama,1402001,2
3233,Drama,3375959,3
3239,Crime,837734,3
3239,Crime,2495559,4
3239,Crime,2532241,1
3239,Crime,3076964,2
3323,Drama,278679,2
3323,Drama,718017,4
3323,Drama,2875249,3
3323,Drama,3619702,1
3366,Crime|Action|Thriller,1329956,1
3366,Crime|Action|Thriller,2427896,3
3366,Crime|Action|Thriller,2494359,4
3366,Crime|Action|Thriller,2557253,2
3467,Action|Thriller,238391,4
3467,Action|Thriller,1167048,3
3467,Action|Thriller,1480185,1
3467,Action|Thriller,1760831,2
3854,Adventure,1351913,4
3854,Adventure,1739265,3
3854,Adventure,2076540,2
3854,Adventure,3405985,1
3906,Adventure,1060304,1
3906,Adventure,1761219,2
3906,Adventure,2433640,4
3906,Adventure,2452267,3
3961,Thriller,1793283,1
3961,Thriller,1929540,4
3961,Thriller,2805709,2
3961,Thriller,2961547,3
4057,Thriller,1014988,1
4057,Thriller,1342347,4
4057,Thriller,1698048,3
4057,Thriller,3426176,2
4064,Drama,810424,4
4064,Drama,1061413,3
4064,Drama,1892087,1
4064,Drama,3807179,2
4068,Action|Thriller,470697,2
4068,Action|Thriller,1983799,1
4068,Action|Thriller,2131839,4
4068,Action|Thriller,2816072,3
4072,Action|Drama,353718,1
4072,Action|Drama,1671991,2
4072,Action|Drama,2472056,4
4072,Action|Drama,3339939,3
4076,Thriller,283459,4
4076,Thriller,313166,2
4076,Thriller,542238,1
4076,Thriller,861346,3
4132,Drama,713207,4
4132,Drama,938435,2
4132,Drama,1290791,1
4132,Drama,3898471,3
4152,Crime|Drama,277808,3
4152,Crime|Drama,290614,2
4152,Crime|Drama,630173,1
4152,Crime|Drama,3431089,4
4252,Crime|Action|Drama,396877,4
4252,Crime|Action|Drama,1069742,2
4252,Crime|Action|Drama,2312401,1
4252,Crime|Action|Drama,2665816,3
4354,Adventure,128645,2
4354,Adventure,316365,4
4354,Adventure,1907368,3
4354,Adventure,3900269,1
4681,Crime,485553,1
4681,Crime,830152,3
4681,Crime,1405458,4
4681,Crime,2605571,2
4869,Adventure,1253701,3
4869,Adventure,1483828,4
4869,Adventure,2355195,1
4869,Adventure,2805709,2
4999,Action|Thriller,498094,4
4999,Action|Thriller,1229838,3
4999,Action|Thriller,2055016,1
4999,Action|Thriller,3464199,2
5000,Action,1206315,1
5000,Action,1348041,3
5000,Action,1900518,2
5000,Action,3632088,4
5044,Crime|Action|Drama,225389,3
5044,Crime|Action|Drama,520603,4
5044,Crime|Action|Drama,2108815,1
5044,Crime|Action|Drama,2166109,2
5076,Crime|Action,665569,2
5076,Crime|Action,724992,3
5076,Crime|Action,1049512,1
5076,Crime|Action,2769988,4
5078,Drama,618247,1
5078,Drama,1158040,2
5078,Drama,3191522,3
5078,Drama,3373644,4
5123,Adventure,1297720,3
5123,Adventure,1309137,2
5123,Adventure,1953875,1
5123,Adventure,2392683,4
5161,Drama,1817602,3
5161,Drama,1856129,1
5161,Drama,2276255,4
5161,Drama,3120951,2
5171,Thriller,2454190,3
5171,Thriller,2520743,4
5171,Thriller,2963551,1
5171,Thriller,3763705,2
5324,Adventure,1335137,3
5324,Adventure,1839848,1
5324,Adventure,2746767,4
5324,Adventure,2997171,2
5914,Action,61523,2
5914,Action,1681146,1
5914,Action,2411110,4
5914,Action,3890203,3
5915,Action,621487,4
5915,Action,702631,3
5915,Action,1292135,1
5915,Action,2532241,2
5959,Thriller,1273531,3
5959,Thriller,1726318,4
5959,Thriller,2805154,2
5959,Thriller,3257358,1
6057,Action|Adventure,386263,1
6057,Action|Adventure,721841,4
6057,Action|Adventure,2260528,3
6057,Action|Adventure,2481470,2
6058,Crime|Action,17838,1
6058,Crime|Action,623809,4
6058,Crime|Action,692749,3
6058,Crime|Action,2991079,2
6097,Crime|Action|Thriller,61523,4
6097,Crime|Action|Thriller,591435,2
6097,Crime|Action|Thriller,1329956,1
6097,Crime|Action|Thriller,3116114,4
6163,Thriller|Drama,511361,4
6163,Thriller|Drama,1072668,3
6163,Thriller|Drama,2312401,1
6163,Thriller|Drama,3471294,2
6166,Drama,719241,2
6166,Drama,2613454,4
6166,Drama,2731923,1
6166,Drama,3568607,3
6185,Drama,755967,2
6185,Drama,2284269,1
6185,Drama,2899766,4
6185,Drama,3121684,3
6425,Adventure,713207,4
6425,Adventure,1808442,1
6425,Adventure,3544742,3
6425,Adventure,3951524,2
7062,Crime|Action,96585,1
7062,Crime|Action,172359,2
7062,Crime|Action,455857,3
7062,Crime|Action,1049512,4
7149,Crime|Action|Adventure,225715,2
7149,Crime|Action|Adventure,2274023,3
7149,Crime|Action|Adventure,2647481,4
7149,Crime|Action|Adventure,3763705,1
7202,Drama,630676,3
7202,Drama,665574,2
7202,Drama,2082212,4
7202,Drama,3650577,1
7212,Crime|Action,2149685,3
7212,Crime|Action,2197978,1
7212,Crime|Action,2476125,4
7212,Crime|Action,2481470,2
7232,Action|Adventure,61523,2
7232,Action|Adventure,1606367,1
7232,Action|Adventure,3747431,3
7232,Action|Adventure,3762843,4
7235,Thriller,339013,4
7235,Thriller,1190192,3
7235,Thriller,1374719,2
7235,Thriller,3805632,1
7247,Action|Thriller|Drama,1792455,4
7247,Action|Thriller|Drama,1907368,2
7247,Action|Thriller|Drama,2436599,3
7247,Action|Thriller|Drama,3558986,1
7320,Thriller|Drama,277151,4
7320,Thriller|Drama,542238,3
7320,Thriller|Drama,1198397,1
7320,Thriller|Drama,3632088,2
7755,Adventure,878356,2
7755,Adventure,1860883,1
7755,Adventure,2946264,3
7755,Adventure,3704908,4
8779,Adventure,565786,1
8779,Adventure,987727,2
8779,Adventure,1170039,3
8779,Adventure,2689164,4
8860,Crime|Action|Thriller|Drama,322458,3
8860,Crime|Action|Thriller|Drama,720541,2
8860,Crime|Action|Thriller|Drama,952910,1
8860,Crime|Action|Thriller|Drama,2655416,4
8862,Action|Thriller,602906,3
8862,Action|Thriller,2131839,1
8862,Action|Thriller,2329949,4
8862,Action|Thriller,3599993,2
8865,Thriller|Drama,2430898,1
8865,Thriller|Drama,2867955,2
8865,Thriller|Drama,3373136,3
8865,Thriller|Drama,3447369,4
8901,Action|Thriller,1021526,4
8901,Action|Thriller,1260631,3
8901,Action|Thriller,1892087,1
8901,Action|Thriller,3898471,2
8903,Drama,515252,2
8903,Drama,1463669,4
8903,Drama,3618428,1
8903,Drama,3838861,3
8929,Drama,99457,4
8929,Drama,461637,2
8929,Drama,2277581,1
8929,Drama,3730286,3
8935,Crime,377600,4
8935,Crime,2312401,1
8935,Crime,2369664,3
8935,Crime,3813562,2
8939,Adventure,263611,4
8939,Adventure,2558605,1
8939,Adventure,2665816,2
8939,Adventure,2681348,3
9417,Crime|Action,2520743,4
9417,Crime|Action,2532241,3
9417,Crime|Action,2823711,1
9417,Crime|Action,3076964,2
9419,Drama,733545,2
9419,Drama,749056,1
9419,Drama,1747719,3
9419,Drama,2408311,4
9420,Crime|Action,1292135,1
9420,Crime|Action,1323070,4
9420,Crime|Action,3301462,2
9420,Crime|Action,3571456,3
9432,Thriller,724992,2
9432,Thriller,2654869,1
9432,Thriller,2757658,3
9432,Thriller,3811626,4
9438,Action|Adventure|Drama,872868,2
9438,Action|Adventure|Drama,2413133,1
9438,Action|Adventure|Drama,2682129,3
9438,Action|Adventure|Drama,2819679,4
9441,Drama,1216582,4
9441,Drama,1781042,1
9441,Drama,2340377,2
