actorid,actor_movie_rank,tagid,timestamp
1072584,3,,
2049627,1,,
3649447,4,,
3825023,2,,
607316,1,,
2145993,4,,
3426287,3,,
3513128,2,,
523435,4,,
581911,1,,
951580,3,,
3413531,2,,
606633,1,,
608635,4,,
1402001,2,,
3375959,3,,
837734,3,,
2495559,4,,
2532241,1,,
3076964,2,,
278679,2,,
718017,4,,
2875249,3,,
3619702,1,,
1329956,1,,
2427896,3,,
2494359,4,,
2557253,2,,
238391,4,,
1167048,3,,
1480185,1,,
1760831,2,,
1351913,4,,
1739265,3,,
2076540,2,,
3405985,1,,
1060304,1,,
1761219,2,,
2433640,4,,
2452267,3,,
1793283,1,428.0,2006-08-18 15:09:24
1793283,1,428.0,2006-02-25 14:11:48
1929540,4,428.0,2006-08-18 15:09:24
1929540,4,428.0,2006-02-25 14:11:48
2805709,2,428.0,2006-08-18 15:09:24
2805709,2,428.0,2006-02-25 14:11:48
2961547,3,428.0,2006-08-18 15:09:24
2961547,3,428.0,2006-02-25 14:11:48
1014988,1,903.0,2006-05-27 04:14:14
1014988,1,824.0,2006-01-16 08:27:50
1014988,1,903.0,2007-06-08 07:15:05
1014988,1,155.0,2006-02-21 13:50:36
1014988,1,824.0,2007-11-26 19:32:58
1014988,1,86.0,2007-02-26 09:03:59
1014988,1,180.0,2006-07-19 18:49:20
1014988,1,180.0,2007-08-13 12:42:14
1014988,1,489.0,2006-02-04 02:53:51
1342347,4,903.0,2006-05-27 04:14:14
1342347,4,824.0,2006-01-16 08:27:50
1342347,4,903.0,2007-06-08 07:15:05
1342347,4,155.0,2006-02-21 13:50:36
1342347,4,824.0,2007-11-26 19:32:58
1342347,4,86.0,2007-02-26 09:03:59
1342347,4,180.0,2006-07-19 18:49:20
1342347,4,180.0,2007-08-13 12:42:14
1342347,4,489.0,2006-02-04 02:53:51
1698048,3,903.0,2006-05-27 04:14:14
1698048,3,824.0,2006-01-16 08:27:50
1698048,3,903.0,2007-06-08 07:15:05
1698048,3,155.0,2006-02-21 13:50:36
1698048,3,824.0,2007-11-26 19:32:58
1698048,3,86.0,2007-02-26 09:03:59
1698048,3,180.0,2006-07-19 18:49:20
1698048,3,180.0,2007-08-13 12:42:14
1698048,3,489.0,2006-02-04 02:53:51
3426176,2,903.0,2006-05-27 04:14:14
3426176,2,824.0,2006-01-16 08:27:50
3426176,2,903.0,2007-06-08 07:15:05
3426176,2,155.0,2006-02-21 13:50:36
3426176,2,824.0,2007-11-26 19:32:58
3426176,2,86.0,2007-02-26 09:03:59
3426176,2,180.0,2006-07-19 18:49:20
3426176,2,180.0,2007-08-13 12:42:14
3426176,2,489.0,2006-02-04 02:53:51
810424,4,874.0,2008-04-05 15:26:47
1061413,3,874.0,2008-04-05 15:26:47
1892087,1,874.0,2008-04-05 15:26:47
3807179,2,874.0,2008-04-05 15:26:47
470697,2,,
1983799,1,,
2131839,4,,
2816072,3,,
353718,1,,
1671991,2,,
2472056,4,,
3339939,3,,
283459,4,732.0,2006-09-20 15:38:31
313166,2,732.0,2006-09-20 15:38:31
542238,1,732.0,2006-09-20 15:38:31
861346,3,732.0,2006-09-20 15:38:31
713207,4,1121.0,2007-07-29 18:58:27
713207,4,1096.0,2007-10-16 19:09:06
713207,4,1121.0,2007-09-17 03:15:50
713207,4,1121.0,2006-04-19 13:24:29
713207,4,1126.0,2006-02-14 23:49:07
713207,4,1121.0,2006-05-01 14:52:45
713207,4,127.0,2007-01-08 15:54:05
713207,4,729.0,2006-09-23 16:11:33
713207,4,1121.0,2007-11-04 07:18:53
713207,4,1121.0,2007-06-06 15:17:24
713207,4,1121.0,2006-07-28 16:25:31
713207,4,127.0,2007-08-22 10:43:01
938435,2,1121.0,2007-07-29 18:58:27
938435,2,1096.0,2007-10-16 19:09:06
938435,2,1121.0,2007-09-17 03:15:50
938435,2,1121.0,2006-04-19 13:24:29
938435,2,1126.0,2006-02-14 23:49:07
938435,2,1121.0,2006-05-01 14:52:45
938435,2,127.0,2007-01-08 15:54:05
938435,2,729.0,2006-09-23 16:11:33
938435,2,1121.0,2007-11-04 07:18:53
938435,2,1121.0,2007-06-06 15:17:24
938435,2,1121.0,2006-07-28 16:25:31
938435,2,127.0,2007-08-22 10:43:01
1290791,1,1121.0,2007-07-29 18:58:27
1290791,1,1096.0,2007-10-16 19:09:06
1290791,1,1121.0,2007-09-17 03:15:50
1290791,1,1121.0,2006-04-19 13:24:29
1290791,1,1126.0,2006-02-14 23:49:07
1290791,1,1121.0,2006-05-01 14:52:45
1290791,1,127.0,2007-01-08 15:54:05
1290791,1,729.0,2006-09-23 16:11:33
1290791,1,1121.0,2007-11-04 07:18:53
1290791,1,1121.0,2007-06-06 15:17:24
1290791,1,1121.0,2006-07-28 16:25:31
1290791,1,127.0,2007-08-22 10:43:01
3898471,3,1121.0,2007-07-29 18:58:27
3898471,3,1096.0,2007-10-16 19:09:06
3898471,3,1121.0,2007-09-17 03:15:50
3898471,3,1121.0,2006-04-19 13:24:29
3898471,3,1126.0,2006-02-14 23:49:07
3898471,3,1121.0,2006-05-01 14:52:45
3898471,3,127.0,2007-01-08 15:54:05
3898471,3,729.0,2006-09-23 16:11:33
3898471,3,1121.0,2007-11-04 07:18:53
3898471,3,1121.0,2007-06-06 15:17:24
3898471,3,1121.0,2006-07-28 16:25:31
3898471,3,127.0,2007-08-22 10:43:01
277808,3,,
290614,2,,
630173,1,,
3431089,4,,
396877,4,484.0,2007-12-23 21:35:32
396877,4,731.0,2007-11-27 14:59:38
396877,4,731.0,2006-09-20 15:25:04
396877,4,255.0,2006-05-11 21:59:11
396877,4,19.0,2008-04-28 22:59:21
396877,4,485.0,2007-08-15 00:28:06
396877,4,762.0,2006-02-25 05:27:17
396877,4,255.0,2006-01-14 14:11:24
1069742,2,484.0,2007-12-23 21:35:32
1069742,2,731.0,2007-11-27 14:59:38
1069742,2,731.0,2006-09-20 15:25:04
1069742,2,255.0,2006-05-11 21:59:11
